Filename,MFS 0,MFS 1,MFS 2,MFS 3,MFS 4,MFS 5,MFS 6,MFS 7,MFS 8,MFS 9,MFS 10,MFS 11,MFS 12,MFS 13,MFS 14,MFS 15,MFS 16,MFS 17,MFS 18,MFS 19
BA01_120_1Slices,0.5994029279,1.0367992718,1.4693161175,1.8122227602,2.0669387037,2.2413886816,2.7772063833,2.325502924,2.2843966592,2.2135695843,2.1486512515,2.0712103792,1.9897272515,1.909055736,1.8234869744,1.7380371609,1.6403232675,1.5591661128,1.4708744875,1.5257408076
BA01_120_2Slices,1.0339011203,0.8476334642,1.0181816834,1.270263493,1.5757868516,1.860012809,2.0927285774,2.2509975304,2.7465379945,2.3417592337,2.2973701161,2.2162653925,2.1184721285,2.0163240955,1.9209303636,1.8140849197,1.7103625178,1.6037027975,1.4996011,1.4998529687
BA01_120_3Slices,0.6284076993,0.9195353688,1.266460188,1.5881316598,1.8675294264,2.0908139703,2.2458007159,2.7598314279,2.3434515525,2.304732279,2.2303452816,2.1456650173,2.0610698654,1.9740505721,1.8876442651,1.7880112175,1.686768545,1.5955960922,1.4979368159,1.5232062569
BA02_120_1Slices,0.9991420138,1.1766703337,1.419375971,1.6258823216,1.8198331206,1.988997695,2.1247152408,2.2292375167,2.7923399185,2.3270118243,2.3212848722,2.2777416232,2.197300236,2.0754435062,1.9261710584,1.7396387508,1.5234308618,1.2812936314,1.0431035127,0.8150202444
BA02_120_2Slices,0.7677021135,1.064305958,1.3703889357,1.625266167,1.8208732018,1.9971671141,2.1312567975,2.2323287271,2.7848203339,2.3246662591,2.320207656,2.2780710771,2.1998266617,2.0807922858,1.9329487831,1.7410650234,1.5075536612,1.2472396225,0.9790552655,0.5802746318
BA02_120_3Slices,0.8831231328,1.1584054934,1.4131195352,1.6344398632,1.8274219153,1.9970014425,2.1302398156,2.2282495495,2.7801784335,2.3256190526,2.3210301148,2.280038237,2.1991060451,2.0779223404,1.9271296406,1.7405488765,1.5187347688,1.2863561526,1.0048322512,0.8151746847
BA03_120_3Slices,0.3911462459,0.8188478262,1.159588659,1.4624659553,1.7101088286,1.8950254545,2.0259277318,2.1011579359,2.7175844283,2.1270607438,2.080734141,2.0057053619,1.8999278566,1.7726789683,1.6437660433,1.5095624345,1.3875914769,1.2858255086,1.1652327457,1.2601741408
BA04_120_2Slices,0.5156649649,0.8265880233,1.1289743444,1.4246666554,1.6817269703,1.9051194773,2.0797024193,2.2099847813,2.7686283376,2.2951751049,2.2658605244,2.2027126453,2.1042525299,1.9931036313,1.8613957752,1.730977682,1.5926361181,1.4761449888,1.3694156375,1.4594461224
BA04_120_3Slices,1.6541787522,1.468280887,1.493283042,1.523177806,1.5625003622,1.7038261977,1.9316226115,2.1369029018,2.7713083447,2.3150194583,2.2962279461,2.2230275166,2.1055944029,1.9560181964,1.7981585891,1.6329269459,1.4798467432,1.326937159,1.204942827,1.1538407669
BA05_120_1Slices,1.536917307,1.2770765653,1.3077191115,1.3919577426,1.5899405314,1.8437552556,2.0654699949,2.2268017191,2.7378334775,2.3474867526,2.3264245464,2.2632776052,2.16604003,2.0378006915,1.8892350283,1.7193094077,1.5386238111,1.3559952897,1.1564144006,0.99769443
BA05_120_2Slices,0.5825269864,0.982770407,1.3267030233,1.6192015777,1.8628239597,2.0519239907,2.1857417828,2.2717377285,2.7617191295,2.2977836073,2.2625516109,2.1916326273,2.1014418597,1.991600552,1.8684055817,1.7292687991,1.5949432135,1.4694683953,1.3202986792,1.2947704118
BA05_120_3Slices,1.2990776921,1.0990264317,1.1882434514,1.4084267729,1.6509103146,1.8949509913,2.086147247,2.2186681429,2.804752749,2.3181040427,2.2958590379,2.2327204065,2.1424559919,2.0215492492,1.8906919577,1.7407029258,1.5942296875,1.438948736,1.2958128138,1.2497724633
BA06_120_1Slices,0.8063413903,0.7405424273,0.8565202505,1.0776740041,1.4416948805,1.7991301534,2.0748655441,2.2469413757,2.8041498109,2.3175890512,2.2698199591,2.1983070439,2.1118018742,2.0109473623,1.9046389681,1.7901085644,1.6806421606,1.5693149864,1.4646415619,1.4513357225
BA06_120_3Slices,1.2285597206,1.0416193543,1.136960493,1.2671317126,1.5295091136,1.8223882103,2.0640850831,2.2329538169,2.7674180912,2.3317652098,2.286866565,2.2063768615,2.105529339,1.9982582925,1.8947064123,1.7812713793,1.6747886504,1.5681336813,1.4660609242,1.4714762661
BA07_120_2Slices,0.382705108,0.6270835745,0.9879906705,1.3278900869,1.6128315751,1.8723718173,2.0720930475,2.2055476221,2.7721895539,2.2899181073,2.2565048846,2.1928362847,2.1034887633,1.9963065894,1.8885703277,1.7690919471,1.6459621151,1.5140978304,1.389475934,1.3490738664
BA07_120_3Slices,0.7199796433,1.0028290216,1.2314148283,1.4580823914,1.6941604904,1.9065472197,2.081585742,2.2051233933,2.7581553907,2.2936973525,2.2699293936,2.2109876466,2.1236093627,2.0151127298,1.8967937443,1.7608476206,1.6101268585,1.4627571132,1.3210591651,1.271117613
BA08_120_1Slices,1.1124119255,1.0189399266,1.2569869176,1.4981967617,1.7287828961,1.9262475905,2.0827551766,2.1925141304,2.8069854752,2.2817096524,2.2681363222,2.2200433463,2.1391999311,2.0281140123,1.8921881628,1.7248227775,1.5476334574,1.3468591488,1.1553237712,1.0350911855
