BMD,TMD,BV/TV,BS/BV,Tb.N,Tb.Th,Tb.Sp,MIL,SMI,FDB,FDB.SD,FDB.Rod,AlphaB,AlphaB.SD,AlphaB.Rod,ThB,ThB.CV,Fexpkn
33.9556,219.373,0.225537,5.26152,0.593335,0.444316,1.03095,0.766957,0.340062,1.565117149,0.287706086,0.267898939,2.113640828,0.285510811,0.273051621,1.130397847,0.119603846,1.46036
33.7707,218.187,0.210068,5.46743,0.574265,0.419148,1.11652,0.735489,0.30549,1.49992301,0.29801301,0.39546502,2.051068384,0.302989852,0.395366421,1.14614724,0.120446469,1.6107263
44.5803,211.808,0.244349,5.19704,0.634946,0.412341,1.03961,0.775477,0.178364,1.515373172,0.281573745,0.358423881,2.06725508,0.290705819,0.359766459,1.130647271,0.120184306,1.64732
31.0683,192.07,0.252903,5.9327,0.750198,0.326198,0.801094,0.677389,0.0899187,1.509354586,0.294713496,0.374530364,2.074815235,0.302780529,0.351289667,1.104666291,0.123575181,1.73784
57.562,206.802,0.255264,5.35196,0.68308,0.391994,0.943393,0.752237,0.111632,1.638636938,0.339377311,0.192502339,2.182928654,0.320309535,0.198912473,1.090963608,0.131466735,1.7721022
56.9512,199.992,0.271958,5.64113,0.767077,0.338606,0.790248,0.712642,0.0309095,1.576887819,0.299728853,0.257155804,2.139290229,0.303570222,0.24620803,1.085022154,0.129065908,1.826667
49.0836,186.718,0.250622,5.64487,0.707364,0.348588,0.898712,0.712778,0.0854511,1.581494628,0.338723327,0.274536701,2.133956276,0.336706469,0.275556771,1.088759985,0.132533652,2.0406985
48.0659,203.603,0.250208,5.49987,0.688055,0.379164,0.901343,0.732211,0.140153,1.573083076,0.346434865,0.288159616,2.117493901,0.338561069,0.299150943,1.099068353,0.129813367,2.1295259
69.2121,206.853,0.241132,5.76928,0.695579,0.364034,0.858701,0.697421,0.160335,1.593552334,0.332173166,0.256784549,2.143494094,0.324582217,0.257347424,1.097519956,0.12874263,2.1390432
75.1602,210.876,0.251683,4.89493,0.615984,0.441248,1.0654,0.828462,0.215052,1.505290014,0.298769833,0.385137772,2.044319518,0.304938792,0.410022613,1.132552761,0.119639113,2.2204678
69.8476,195.754,0.277738,5.80528,0.806172,0.321124,0.757259,0.693226,-0.0375345,1.582916054,0.308004345,0.250239122,2.150285544,0.307060195,0.232679506,1.076280541,0.133028334,2.35117
60.5014,207.086,0.262467,5.01661,0.658348,0.407588,0.955733,0.80855,0.22161,1.51196533,0.321087817,0.381292925,2.049453063,0.328362423,0.408051674,1.115728767,0.124670752,2.3668
69.2366,203.161,0.259162,5.61908,0.728125,0.351595,0.848194,0.715655,0.07967,1.545243767,0.297092038,0.309945156,2.10474319,0.30547363,0.301141774,1.099123979,0.12665242,2.43365
68.729,213.132,0.23043,4.90279,0.564876,0.453525,1.14456,0.82773,0.388479,1.539832304,0.338446144,0.342001174,2.06740403,0.343305084,0.38143558,1.121844525,0.126637364,2.5159241
61.1211,215.905,0.242203,4.59962,0.557022,0.495919,1.20815,0.882457,0.270093,1.558943448,0.357726935,0.311501609,2.083436091,0.342583476,0.352275443,1.132515222,0.123328115,2.58212
73.6553,214.105,0.244232,4.66561,0.569745,0.474872,1.18124,0.873043,0.317183,1.603356535,0.368952561,0.263703456,2.121760619,0.359113986,0.306531797,1.101727218,0.136704852,2.62611
79.298,202.517,0.265228,5.10403,0.676866,0.402975,0.935774,0.794317,0.176541,1.507558688,0.294905748,0.379711156,2.050372058,0.309585387,0.399940636,1.111486323,0.124227579,2.7324932
